number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
297,,9,20,43,6,46.9,6.9,2177,7.3,18600,7.5,414,8,,,
298,OME LEO,9,21,46,9,36.0,5.9,2188,5.3,18619,5,438,6,6,5.8,5.7
299,3 LEO,9,21,50,8,43.9,6.3,2226,6.0,18632,6,441,6,6,6.0,6
300,XI LEO,9,25,13,11,51.2,5.4,2053,5.3,,,515,6,6,5.6,5.3
301,6 h LEO,9,25,15,10,16.0,5.6,2014,6.0,18728,5.5,517,6.5,6,5.6,5.7
302,,9,28,13,13,12.7,6.8,2117,6.5,18823,7,,,,,
303,10 LEO,9,30,37,7,23.7,5.4,2160,5.8,18893,5,649,6,6,5.4,6
304,,9,31,56,5,12.8,5.1,2207,5.0,18940,5,683,6,5,5.0,5
305,OMI LEO,9,34,29,10,27.7,3.7,2044,3.7,19007,3.5,732,4,3.7,3.6,3.7
306,,9,40,39,9,8.9,7.0,2239,7.0,19191,6.5,,,,,
307,,9,44,6,12,25.5,6.9,3005,6.8,19289,7,931,7,,,
308,23 LEO,9,44,16,13,39.0,6.7,2164,6.5,19293,6.5,937,8,,,6.3
309,,9,47,29,8,39.9,7.4,2285,7.2,19380,8,1002,7,,,
310,,9,49,19,8,16.2,7.0,2289,7.5,19426,6.5,1035,7,,,
311,,9,49,49,9,31.5,6.1,2262,6.2,19440,5.5,1047,7,,,6
312,PI LEO,9,53,36,8,38.6,5.2,2301,5.0,19549,4,1127,6,5,4.9,5
313,14 SEX,10,0,15,6,13.2,6.6,2259,6.9,19728,6.2,1268,7,,6.1,6.3
314,ETA LEO,10,0,31,17,22.3,3.7,2171,3.4,19730,3.2,1271,3,3.3,3.4,3.3
315,31 A LEO,10,1,16,10,36.6,4.5,2112,5.0,19744,4.2,1290,4.5,5,4.8,4.7
316,16 SEX,10,2,42,6,47.0,6.9,2265,7.1,19772,6.8,2,7,,,
317,19 SEX,10,6,18,5,13.9,6.2,2301,6.5,19861,6,69,7,6,5.9,6
318,42 LEO,10,15,7,15,36.3,6.3,2192,6.3,20087,6,274,6,,,6
319,44 LEO,10,18,40,9,25.2,6.0,2351,6.0,20191,5.8,295,6,6,6.0,6
320,,10,20,35,11,57.0,6.9,2211,7.2,20260,7,331,7,,,6.3
321,45 LEO,10,21,3,10,23.9,6.4,2152,7.0,20272,6,344,7,6,6.0,6
322,RHO LEO,10,26,14,9,57.0,3.9,2166,4.1,20421,4,438,4,4,3.8,4
323,48 LEO,10,28,17,7,35.8,5.5,2330,6.3,20473,6,476,6.5,6,5.7,5.7
324,49 LEO,10,28,29,9,17.7,6.0,2374,6.2,20479,6,482,7,,6.0,6
325,,10,39,42,13,24.4,6.9,2302,6.5,20748,6.5,,,,,6.3
326,52 k LEO,10,39,48,14,51.2,5.9,2294,5.8,20751,5.5,,,6,6.0,5.7
327,53 l LEO,10,42,41,11,12.4,5.5,2283,5.3,20826,5,743,6,5,5.5,5.3
328,,10,44,35,12,14.6,7.1,2266,6.8,20876,7,781,7.5,,,
329,,10,53,9,12,12.4,6.6,2284,6.5,19532,9,937,7,,,
330,58 d LEO,10,54,6,4,17.3,5.3,2407,4.5,21125,5,952,6,5,5.0,4.7
331,,10,56,2,9,50.7,7.2,2441,7.5,21177,7,987,8,,,
332,,10,57,59,13,20.4,6.7,2348,6.5,,,1025,7,,,6.3
333,CHI LEO,10,58,34,8,0.7,4.8,2455,5.2,21242,4.5,1036,5.5,5,4.8,4.7
334,,11,7,32,8,44.7,6.3,2476,7.0,21468,6,85,7,6,6.1,6
335,73 n LEO,11,9,20,13,59.3,5.9,2367,5.4,,,,,6,5.7,5.7
336,,11,12,27,14,57.4,6.7,2321,7.4,21571,7,210,7,,,
337,SIG LEO,11,14,41,6,42.9,4.1,2437,4.3,21633,4.2,223,5,4,4.0,4.3
338,,11,15,22,9,51.3,6.7,2482,7.4,,,235,7,,,6.3
339,IOT LEO,11,17,24,11,13.1,4.0,2348,4.1,21693,3.5,269,5,4,4.0,4
340,79 LEO,11,17,38,2,5.6,6.0,2418,6.0,21700,5.5,273,6,6,6.0,5.7
