number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
253,,7,51,23,7,33.0,6.7,1879,6.8,15532,7,1486,7.5,,,6.3
254,,7,52,7,5,57.7,7.0,1840,7.4,15564,7,,,,,6.3
255,,7,54,37,5,13.3,6.0,1857,6.5,15657,,1581,6.5,6,6.1,6
256,8 CNC,7,58,7,13,28.5,5.4,1831,5.8,15761,6,1673,7,6,5.6,6
257,12 CNC,8,1,44,14,0.2,6.5,1831,6.5,15893,7,1776,7,,,6.3
258,,8,4,28,10,11.4,6.4,1746,6.5,15989,7,48,7,,,6.3
259,ZET CNC,8,5,3,18,1.4,5.1,1867,4.7,16004,6.5,53,5.5,4.7,5.0,4.7
260,,8,7,24,13,25.5,6.6,1868,7.2,16100,7.5,131,7,,,
261,BET CNC,8,9,44,9,34.2,3.5,1917,3.7,16175,4.2,201,4,3.7,3.5,3.7
262,21 CNC,8,17,5,11,2.1,6.6,1830,6.5,16443,6,409,7,,,6.3
263,27 CNC,8,19,49,13,4.0,6.3,1912,5.8,16558,6,483,6.5,6,6.0,5.7
264,29 CNC,8,21,39,14,37.4,6.2,1898,6.2,16621,6.5,529,7,6,6.1,6
265,,8,22,52,8,49.9,7.0,2064,7.0,16663,7,564,8,,,
266,,8,26,50,13,41.1,6.6,1940,6.8,16802,7,657,7.5,,,6.3
267,,8,27,8,5,11.0,6.4,1997,6.5,16814,6,665,7,,,6.3
268,,8,27,29,8,52.8,6.5,2077,7.0,16823,6,671,7,6,6.1,6
269,36 c CNC,8,30,19,10,5.3,6.2,1837,6.0,16936,6,751,7.5,6,6.0,6
270,DEL HYA,8,31,3,6,8.3,4.2,2001,4.5,16970,4,772,4.5,4.3,4.3,4.3
271,,8,32,42,8,25.5,6.7,2099,7.5,17038,6.5,,,,,
272,45 A1 CNC,8,36,19,13,7.7,5.9,1972,6.0,17166,6,918,7,6,5.9,6
273,ETA HYA,8,36,41,3,50.8,4.6,2039,5.0,17180,4,926,7,4.7,4.7,4.7
274,DEL CNC,8,37,35,18,36.8,3.9,2027,4.5,17200,4,925,4,4,4.0,4
275,49 b CNC,8,37,58,10,32.0,6.0,1864,6.0,17220,6,959,7,6,6.0,5.7
276,EPS HYA,8,40,9,6,52.6,3.3,2036,3.5,17290,4,1008,5,3.3,3.4,3.3
277,RHO HYA,8,41,49,6,17.9,4.8,2040,4.8,17345,5,,,5,5.0,5
278,,8,43,9,7,28.7,6.9,2036,7.5,17391,7,1083,7,,,
279,,8,45,32,8,32.5,6.7,2134,6.8,17480,6.5,1150,7.5,,,
280,,8,45,48,5,48.5,6.8,2074,7.3,,,1160,7.5,,,
281,,8,50,58,9,52.1,6.5,2093,6.0,17666,6,1285,7.5,,,6.3
282,ALF CNC,8,51,39,12,20.4,4.5,1948,4.3,17693,4,1300,6,4,4.2,4
283,,8,54,55,6,7.8,6.6,2087,6.5,17802,6,1385,7.5,,,6.3
284,,8,56,6,7,47.4,6.2,2066,6.5,17845,6,1414,7,,,6.3
285,,8,56,36,7,18.4,6.8,2068,7.0,17866,7,1423,7,,,
286,KAP CNC,9,0,59,11,10.2,5.4,1984,5.5,17995,4.5,1515,7,5,5.6,5
287,,9,1,24,12,27.2,7.5,1973,7.5,18004,7.5,1524,8.5,,,
288,,9,2,59,12,4.3,6.6,1979,7.0,18058,7,,,,,6.3
289,,9,4,44,9,29.2,7.1,2133,6.8,18120,6.5,59,7,,,
290,,9,11,11,8,28.1,7.0,2199,7.2,18323,7,,,,,
291,,9,12,47,10,18.9,7.1,1972,7.2,,,,,,,
292,,9,13,17,5,44.6,6.6,2158,7.1,18385,6.5,244,7,,,
293,,9,14,29,13,38.7,6.7,2074,7.0,18421,7,269,8,,,
294,,9,16,51,8,15.0,7.0,2215,7.3,18487,7.5,325,8,,,
295,,9,17,6,5,45.2,6.9,2169,7.5,18499,6.5,,,,,
296,,9,17,54,6,53.3,6.8,2169,7.2,18532,7,347,8,,,
