number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
77,31 ARI,2,29,49,11,54.3,5.9,360,5.1,,,,,6,5.8,5.7
78,,2,29,58,7,11.1,5.6,402,6.5,4831,6.5,483,7,6,6.0,6
79,,2,31,22,7,9.3,6.5,405,7.3,4879,7.2,511,7,,,
80,DEL CET,2,33,5,-0,12.7,4.0,406,3.7,4928,3.3,547,3.5,4,3.9,4
81,,2,33,40,5,34.4,6.4,374,7.0,4943,7,557,7,6,6.1,6
82,85 CET,2,35,45,10,12.6,6.5,360,7.0,5006,6.5,600,8,6,,6
83,GAM CET,2,36,49,2,42.5,3.2,422,3.5,5045,4,616,3.5,3.3,3.3,3.3
84,37 ARI,2,37,39,14,46.9,6.0,457,6.0,5061,6,,,6,5.9,6
85,38 ARI,2,38,8,11,55.2,5.4,377,5.2,5075,6,634,6,5,5.4,5
86,,2,41,5,14,59.1,7.3,469,7.5,5174,7,684,7.5,,,
87,PI ARI,2,42,19,16,56.6,5.5,355,5.7,5209,5.8,1001,7,5.7,5.6,5.7
88,SIG ARI,2,44,35,14,34.0,5.7,480,6.0,5283,6,744,7,6,5.9,5.7
89,,2,47,3,8,49.4,6.9,443,6.8,5346,8,790,8,,,
90,,2,47,42,7,10.2,7.2,443,7.7,5371,8.5,807,8,,,
91,,2,49,28,5,40.1,7.5,420,7.5,5423,8,,,,,
92,,2,49,33,7,52.7,6.3,450,6.8,5424,7,845,7,,,6
93,EPS ARI,2,52,4,20,50.4,5.0,484,4.2,5488,4.8,1225,6,4.3,4.5,4.3
94,,2,52,45,6,9.3,7.2,460,7.8,5523,8,,,,,
95,LAM CET,2,53,1,8,24.5,4.8,455,4.8,5529,4.5,904,4,4.7,4.7,4.7
96,,2,53,55,10,22.5,6.4,401,7.0,5554,7,929,7,,,6.3
97,,2,59,32,12,42.3,6.0,436,5.2,5725,6.2,1033,7,,,6
98,,3,1,57,7,59.2,6.6,478,6.6,5800,7,,,,,
99,,3,3,49,11,23.9,6.2,445,6.5,5865,7,20,6.5,,,
100,,3,4,30,12,34.3,6.4,452,6.3,5893,,36,7,,,
101,,3,5,48,6,11.4,6.1,496,6.4,5937,6,61,6,6,6.1,6
102,ZET ARI,3,7,43,20,34.8,5.2,527,4.5,5983,5,137,6,4.3,4.7,4.7
103,,3,10,29,6,20.4,7.0,508,7.5,6079,7.5,154,7,,,
104,,3,10,44,7,13.7,6.9,493,7.5,6084,8,163,8,,,
104,,3,10,50,7,15.8,6.9,494,8.5,6087,8.5,167,8,,,
105,,3,12,58,12,55.3,7.4,467,7.3,6134,8,205,8,,,
106,,3,17,17,12,11.1,6.3,473,6.0,6268,7,275,6.5,,,6.2
107,OMI TAU,3,18,5,8,35.3,3.4,511,3.8,6287,5,294,5,3.7,3.4,3.7
108,XI TAU,3,20,24,9,17.7,3.5,439,4.0,6360,4.5,335,4.5,3.7,3.5,3.7
109,,3,20,25,12,17.9,6.5,477,7.0,6357,7,334,8,,,6.3
110,,3,21,46,10,57.4,7.0,444,7.0,6400,7.8,359,8,,,
111,4 s TAU,3,23,34,10,54.4,5.6,452,5.3,6454,6,392,6.5,5,5.2,5
112,5 f TAU,3,23,58,12,30.4,4.3,486,4.0,6461,5.5,,,4,4.0,4
113,,3,24,7,5,45.6,6.3,502,6.7,6475,6,400,7,,,6.3
114,,3,25,31,11,7.1,6.8,487,7.3,6508,7.8,426,8,,,
115,6 t TAU,3,25,50,8,57.0,6.0,528,6.2,,,438,7,6,5.9,6
116,,3,26,25,13,21.6,7.2,568,7.5,,,447,8,,,
117,,3,28,10,5,59.9,6.8,511,7.3,6603,7.5,488,7,,,6.3
118,12 TAU,3,33,21,2,39.0,6.1,581,5.8,6744,7,601,7,6,5.9,6
119,,3,34,44,9,40.8,7.7,472,6.8,6752,8,632,8,,,
120,29 u TAU,3,39,2,5,39.4,5.7,539,5.7,,,722,6.5,5.7,5.7,5.7
