number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
121,30 e TAU,3,41,25,10,45.4,5.3,486,5.2,7010,5.8,765,6,5,5.2,5
122,,3,41,42,9,15.6,6.8,494,6.5,7021,7.8,772,7.5,,,
123,,3,44,19,12,40.1,6.4,516,7.0,7110,7,,,6,6.1,6
124,31 TAU,3,45,20,6,9.5,5.9,594,6.1,7143,6,855,7,6,6.0,6
125,,3,46,30,7,24.0,7.9,560,7.8,7172,8.5,873,8,,,
126,,3,47,59,8,48.6,7.7,596,7.0,7214,8.5,903,8,,,
127,,3,50,23,5,40.7,6.4,564,7.0,7291,7,949,7,6,6.1,6
128,,3,52,20,13,37.2,7.2,621,6.8,7364,7,998,8,,,
129,,3,52,49,9,58.3,6.6,524,6.9,,,1014,7,,,6.3
130,,3,54,57,9,38.7,5.9,528,5.8,7444,6,1050,7,6,6.0,6
131,,3,56,10,8,52.1,7.0,623,8.0,7475,7.5,,,,,
132,NU TAU,3,56,30,5,38.5,3.9,581,4.0,7490,4.2,1060,4,4,3.8,4
133,,3,57,10,7,51.0,5.9,592,5.9,7518,7,1087,7,6,6.0,6
134,,3,57,37,2,29.3,5.9,645,5.8,7540,7,1095,7,6,5.9,6
135,,3,58,52,9,41.6,6.9,532,7.2,7587,7.5,1119,7,,,
136,,4,1,52,9,46.0,7.1,543,6.5,7695,8,1182,7,,,
137,,4,2,3,13,3.9,6.2,648,6.3,7701,6,1186,7,,,6.3
138,46 TAU,4,6,49,7,23.7,5.9,617,5.5,,,,,6,5.7,5.7
139,,4,6,52,12,26.0,6.6,564,6.0,7872,7,93,7.5,,,
140,,4,7,20,12,1.9,7.0,583,7.0,7892,7,104,8,,,
141,MU TAU,4,8,44,8,34.7,4.4,657,4.5,7937,5,133,5,4.3,4.5,4.3
142,,4,8,47,5,53.3,6.4,513,8.5,7939,7.5,137,8,6,6.1,6
142,,4,8,50,5,52.6,6.4,514,7.5,7943,7,140,8,6,6.1,6
143,,4,11,36,9,10.8,6.7,558,7.3,8045,7.8,199,7,,,
144,,4,12,46,9,49.1,6.7,562,6.5,8094,7,222,7,,,
145,,4,14,2,5,49.9,6.2,631,6.5,8126,6.5,248,7,6,6.1,6
146,,4,16,22,11,5.1,6.7,601,6.8,8221,7,304,7,,,
147,,4,17,18,11,52.1,6.7,604,7.0,8261,7,325,7,,,
148,,4,20,35,10,55.8,6.3,577,6.4,8372,6,397,7,6,6.1,6
149,79 b TAU,4,21,50,12,46.1,5.5,598,5.0,,,430,5,5.7,5.7,5.7
150,,4,24,23,6,31.4,7.0,696,7.0,8513,8,479,8.2,,,
151,,4,26,45,12,59.2,6.8,608,7.0,8582,6.5,531,7,,,6.3
152,RHO TAU,4,26,45,14,34.8,5.1,720,5.4,8580,5.5,529,6,5,5.1,5.3
153,,4,26,59,9,9.0,6.6,600,6.8,8595,7.5,537,7,,,6.3
154,,4,27,30,5,18.3,6.0,679,6.0,8611,6.2,554,7,6,6.0,6
155,88 d TAU,4,28,47,9,54.2,4.6,607,4.3,,,591,4,4.7,4.6,4.7
156,,4,29,24,11,9.3,6.9,632,6.7,8669,7.5,600,7,,,
157,90 c TAU,4,31,10,12,15.5,4.5,618,4.0,8719,5,642,5,4.7,4.7,4.3
158,,4,32,9,12,45.4,7.5,620,6.8,8752,7.5,669,8,,,
159,,4,32,20,7,37.3,5.8,681,5.8,8759,7,675,7,6,5.9,6
160,,4,35,24,9,23.8,6.9,628,7.3,8845,8,744,7.5,,,
161,,4,37,30,10,54.7,5.9,621,5.6,8898,6,792,6,6,5.8,6
162,,4,40,38,5,33.7,7.0,728,7.3,9000,7,856,8,,,
163,PI3 ORI,4,43,2,6,44.5,3.2,762,3.3,9059,4.8,900,4,4,3.4,3.7
164,PI2 ORI,4,43,48,8,41.0,4.7,777,5.0,,,918,6,4.7,4.7,4.7
